Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Electricity Usage (W),Welding Robot Speed (m/s),Heat Input (j/mm),Welding Cycle Time
21.00,103.66,12.03,3.80,0.92,0.00,0.01,249.45,3.20
21.00,105.11,11.73,3.77,0.88,0.00,0.01,241.52,3.20
21.00,102.74,11.00,3.94,0.92,0.00,0.01,200.88,3.20
21.00,106.24,12.56,4.33,0.91,0.00,0.01,237.25,3.20
26.00,108.12,12.03,3.97,0.82,0.00,0.01,174.8,3.20
26.00,96.77,12.83,3.58,0.89,0.00,0.01,196.03,3.20
26.00,105.55,12.32,4.38,0.94,0.00,0.00,0,3.20
26.00,104.21,12.47,4.71,0.91,0.00,0.00,0,3.20
26.00,104.33,11.70,4.15,0.91,0.00,0.00,0,3.20
32.00,111.36,13.25,5.16,0.94,0.00,0.01,153.32,3.20
32.00,110.99,13.10,5.37,0.94,0.00,0.01,148.71,3.20
32.00,110.21,13.72,5.67,0.93,0.00,0.01,176.77,3.20
32.00,109.32,14.67,6.15,0.96,0.00,0.01,163.98,3.20
32.00,104.49,14.07,5.53,0.94,0.00,0.00,0,3.20
21.00,94.12,10.79,3.30,0.81,0.00,0.00,203.05,3.20
21.00,93.90,11.73,3.58,0.86,0.00,0.00,229.46,3.20
21.00,103.61,10.40,3.84,0.88,0.00,0.00,0,3.20
21.00,107.99,11.13,3.85,0.90,0.00,0.01,189.85,3.20
32.00,109.88,13.32,5.41,0.92,0.00,0.01,149.7,3.20
21.00,102.55,11.99,4.09,0.86,0.00,0.00,0,3.22
21.00,100.33,11.32,3.94,0.95,0.00,0.00,0,3.22
21.00,105.77,10.81,3.98,0.90,0.00,0.00,0,3.22
21.00,108.10,11.29,3.88,0.86,0.00,0.00,0,3.22
21.00,105.87,10.79,3.92,0.89,0.00,0.01,192.37,3.22
21.00,99.88,11.63,4.04,0.95,0.00,0.01,220.11,3.22
21.00,101.21,12.28,4.16,0.90,0.00,0.01,243.39,3.22
26.00,104.12,12.20,4.21,0.90,0.00,0.00,0,3.22
26.00,104.10,12.44,4.76,0.89,0.00,0.00,0,3.22
32.00,111.44,13.14,5.53,0.93,0.00,0.01,149.81,3.22
32.00,106.99,12.38,4.69,0.93,0.00,0.01,148.16,3.22
32.00,105.88,14.40,6.00,0.88,0.00,0.00,0,3.22
21.00,101.62,11.16,3.95,0.89,0.00,0.01,173.58,3.23
21.00,106.12,11.70,4.23,0.87,0.00,0.01,209.1,3.23
21.00,103.77,12.98,5.19,0.80,0.00,0.00,0,3.23
26.00,104.10,12.38,3.57,0.88,0.00,0.01,174.38,3.23
26.00,111.49,11.54,4.18,0.86,0.00,0.01,172.95,3.23
26.00,98.66,12.11,3.83,0.93,0.00,0.01,188.64,3.23
26.00,104.00,12.17,3.60,0.88,0.00,0.01,190.32,3.23
26.00,108.88,11.85,4.69,0.96,0.00,0.00,0,3.23
32.00,113.36,13.17,5.66,0.84,0.00,0.01,155.16,3.23
32.00,99.49,13.33,4.79,0.93,0.00,0.01,139.6,3.23
32.00,108.33,11.63,3.94,0.94,0.00,0.01,132.64,3.23
32.00,110.11,11.87,4.38,0.94,0.00,0.01,137.62,3.23
32.00,102.09,13.22,5.61,0.95,0.00,0.00,0,3.23
21.00,90.10,10.38,3.27,0.78,0.00,0.01,175.33,3.23
21.00,89.88,11.20,4.34,0.78,0.00,0.01,188.73,3.23
21.00,103.55,11.61,3.99,0.89,0.00,0.01,189.83,3.24
21.00,103.24,11.20,3.84,0.87,0.00,0.00,243.43,3.24
21.00,106.12,10.80,3.98,0.89,0.00,0.01,193,3.24
21.00,104.10,13.01,5.21,0.87,0.00,0.00,0,3.24
26.00,103.66,12.19,4.61,0.90,0.00,0.00,0,3.24
26.00,98.70,11.68,4.40,0.98,0.00,0.00,0,3.24
21.00,91.10,10.46,3.63,0.87,0.00,0.01,153.09,3.24
26.00,111.24,11.39,3.65,0.90,0.00,0.01,170.31,3.25
21.00,100.66,10.87,3.70,0.97,0.00,0.00,0,3.25
21.00,100.99,11.83,3.84,0.91,0.00,0.01,199.14,3.25
21.00,102.99,11.09,3.98,0.91,0.00,0.01,180.3,3.25
26.00,106.42,12.18,3.41,0.86,0.00,0.01,152.54,3.25
26.00,98.66,11.99,3.73,0.93,0.00,0.01,186.76,3.25
26.00,107.99,12.25,3.64,0.86,0.00,0.01,175.03,3.25
26.00,110.33,11.53,4.66,0.94,0.00,0.00,0,3.25
26.00,103.99,12.24,4.35,0.96,0.00,0.00,0,3.25
26.00,104.33,12.32,4.58,0.91,0.00,0.00,0,3.25
26.00,110.11,11.90,4.76,0.92,0.00,0.00,0,3.25
26.00,109.22,11.75,4.53,0.99,0.00,0.00,0,3.25
26.00,102.08,12.87,4.72,0.96,0.00,0.00,0,3.25
26.00,103.10,12.38,4.64,0.92,0.00,0.00,0,3.25
32.00,108.44,14.24,5.74,0.98,0.00,0.01,157.97,3.25
32.00,112.74,12.46,4.97,0.97,0.00,0.01,170.28,3.25
32.00,111.21,13.87,6.02,0.97,0.00,0.01,180.26,3.25
32.00,108.33,14.67,6.16,0.96,0.00,0.01,162.47,3.25
32.00,110.77,13.29,5.48,0.97,0.00,0.01,150.54,3.25
32.00,109.88,12.77,4.82,0.94,0.00,0.01,166.12,3.25
21.00,95.99,12.56,4.59,0.77,0.00,0.00,241.16,3.25
26.00,104.33,12.03,4.44,0.91,0.00,0.00,0,3.26
21.00,105.10,11.23,3.94,0.97,0.00,0.00,0,3.27
21.00,103.22,11.12,3.21,0.90,0.00,0.01,181.27,3.27
26.00,97.40,12.61,3.70,0.92,0.00,0.01,161.6,3.27
26.00,103.99,12.82,4.59,0.97,0.00,0.00,0,3.27
32.00,110.86,14.94,6.18,0.96,0.00,0.01,172.05,3.27
32.00,106.79,13.86,5.35,0.95,0.00,0.01,149.51,3.27
32.00,109.55,13.75,5.51,0.96,0.00,0.01,154,3.27
32.00,106.36,14.10,5.89,0.94,0.00,0.00,0,3.27
21.00,106.55,11.20,3.51,0.93,0.00,0.00,0,3.27
21.00,103.44,11.18,3.43,0.93,0.00,0.01,186.21,3.27
21.00,103.22,12.47,4.25,0.91,0.00,0.01,214.45,3.27
21.00,103.88,11.18,3.57,0.91,0.00,0.01,183.34,3.27
26.00,106.10,12.45,4.20,0.94,0.00,0.01,173.8,3.27
32.00,110.66,13.51,5.31,0.96,0.00,0.01,152.91,3.27
32.00,106.77,12.02,4.30,0.92,0.00,0.01,152.01,3.27
32.00,105.90,12.28,4.95,0.93,0.00,0.00,0,3.27
32.00,109.09,13.51,5.55,0.94,0.00,0.00,0,3.27
21.00,91.62,10.70,3.30,0.80,0.00,0.00,196.04,3.27
21.00,97.28,11.33,3.76,0.96,0.00,0.00,0,3.28
21.00,104.10,11.16,3.22,0.89,0.00,0.01,183.36,3.28
26.00,103.66,11.29,3.65,0.89,0.00,0.01,158.36,3.28
26.00,109.61,11.49,4.19,0.93,0.00,0.00,0,3.28
26.00,104.99,11.96,4.24,0.96,0.00,0.00,0,3.28
26.00,104.22,12.36,5.02,0.93,0.00,0.00,0,3.28
26.00,104.44,12.08,4.40,0.95,0.00,0.00,0,3.28
32.00,108.33,13.21,5.32,1.00,0.00,0.01,162.81,3.28
32.00,110.33,11.46,4.31,0.95,0.00,0.01,149.77,3.28
21.00,91.08,10.74,3.48,0.90,0.00,0.01,149.41,3.28
26.00,104.79,11.91,4.35,0.95,0.00,0.00,0,3.28
32.00,109.99,13.82,5.75,0.96,0.00,0.01,155.49,3.28
32.00,104.77,11.11,4.25,0.91,0.00,0.00,0,3.28
21.00,104.22,11.50,3.65,0.95,0.00,0.00,0,3.30
21.00,105.12,12.02,4.41,0.93,0.00,0.01,212.87,3.30
26.00,97.88,11.96,4.05,0.91,0.00,0.01,184.77,3.30
26.00,100.39,11.79,3.63,0.93,0.00,0.01,207.65,3.30
26.00,105.22,12.44,4.77,0.94,0.00,0.00,0,3.30
26.00,109.88,11.71,4.22,0.93,0.00,0.00,0,3.30
26.00,110.49,11.95,4.66,0.96,0.00,0.00,0,3.30
32.00,107.29,12.36,4.23,0.96,0.00,0.01,139.59,3.30
21.00,89.57,10.39,3.11,0.86,0.00,0.00,207.72,3.30
21.00,95.19,10.95,4.03,0.86,0.00,0.01,162.87,3.30
21.00,101.55,11.22,3.72,0.91,0.00,0.00,0,3.31
21.00,104.62,11.31,3.90,0.94,0.00,0.00,0,3.31
21.00,103.99,11.94,3.82,0.96,0.00,0.01,206.98,3.31
26.00,105.11,12.28,4.73,0.96,0.00,0.00,0,3.31
32.00,110.10,13.18,5.16,0.99,0.00,0.01,148.38,3.31
21.00,96.10,10.72,3.55,0.82,0.00,0.00,231.78,3.31
21.00,100.44,10.97,3.73,0.96,0.00,0.00,0,3.31
21.00,107.10,10.80,3.71,0.99,0.00,0.00,0,3.31
21.00,102.90,11.37,4.03,0.96,0.00,0.00,0,3.31
21.00,105.50,10.99,3.90,0.94,0.00,0.00,0,3.31
21.00,103.32,11.61,3.81,0.94,0.00,0.01,189.41,3.31
21.00,102.55,11.82,3.91,0.93,0.00,0.01,191.44,3.31
21.00,102.27,11.44,3.58,0.94,0.00,0.01,204.2,3.31
26.00,109.32,12.25,4.01,0.88,0.00,0.01,177.18,3.31
26.00,103.99,12.26,4.98,0.94,0.00,0.00,0,3.31
26.00,102.44,12.80,4.54,0.96,0.00,0.00,0,3.31
32.00,112.39,12.87,5.72,0.99,0.00,0.01,164.37,3.31
32.00,110.10,13.32,5.51,0.96,0.00,0.01,166.88,3.31
32.00,109.61,11.36,3.76,0.96,0.00,0.01,131.1,3.31
32.00,109.88,11.75,4.15,0.96,0.00,0.01,152.95,3.31
21.00,95.66,11.16,4.13,0.91,0.00,0.01,171.49,3.31
21.00,105.66,11.30,4.35,0.99,0.00,0.00,0,3.33
21.00,97.25,11.18,3.85,0.92,0.00,0.00,0,3.33
21.00,105.62,11.71,3.60,0.94,0.00,0.01,187.58,3.33
21.00,106.74,10.88,3.92,0.95,0.00,0.00,244.38,3.33
21.00,99.10,11.89,3.80,0.95,0.00,0.01,235.61,3.33
21.00,99.44,12.37,3.73,0.91,0.00,0.01,194.15,3.33
26.00,103.44,11.43,3.77,0.91,0.00,0.01,186.74,3.33
26.00,102.21,12.56,4.64,0.95,0.00,0.00,0,3.33
26.00,101.45,13.11,4.65,0.92,0.00,0.00,0,3.33
26.00,100.99,12.64,4.46,0.97,0.00,0.00,0,3.33
26.00,99.45,13.73,4.43,0.98,0.00,0.00,0,3.33
26.00,103.77,12.38,4.71,0.94,0.00,0.00,0,3.33
26.00,103.66,12.29,4.74,0.95,0.00,0.00,0,3.33
32.00,113.49,13.69,5.63,0.97,0.00,0.01,161.37,3.33
32.00,107.19,11.88,4.56,0.97,0.00,0.01,148.94,3.33
32.00,107.29,11.70,4.11,0.94,0.00,0.01,146.82,3.33
32.00,110.10,12.11,4.87,0.97,0.00,0.01,157.89,3.33
32.00,110.19,12.54,4.93,0.97,0.00,0.01,161.61,3.33
32.00,106.79,11.82,4.14,0.93,0.00,0.01,132.87,3.33
32.00,94.55,10.50,4.41,0.96,0.00,0.00,0,3.33
32.00,103.33,14.11,5.54,0.90,0.00,0.00,0,3.33
21.00,93.19,11.69,4.50,0.91,0.00,0.00,226.97,3.33
21.00,103.99,11.10,3.43,0.93,0.00,0.01,182.26,3.33
26.00,100.77,12.09,3.57,0.81,0.00,0.01,164.85,3.33
32.00,106.32,13.39,4.99,1.00,0.00,0.01,166.38,3.33
21.00,95.43,10.79,3.73,0.86,0.00,0.01,165.48,3.33
21.00,90.32,10.51,4.01,0.88,0.00,0.01,178.01,3.33
21.00,102.00,10.88,3.58,0.93,0.00,0.00,0,3.34
26.00,104.33,12.71,4.02,0.93,0.00,0.01,209.35,3.34
26.00,109.74,12.16,5.01,0.95,0.00,0.00,0,3.34
32.00,105.77,11.93,4.22,0.94,0.00,0.01,132.83,3.34
21.00,104.36,11.19,3.77,0.89,0.00,0.00,0,3.34
21.00,108.11,10.45,3.85,0.92,0.00,0.00,0,3.34
26.00,101.99,12.08,3.59,0.87,0.00,0.01,166.69,3.34
26.00,102.49,12.57,4.28,0.97,0.00,0.00,0,3.34
26.00,107.44,12.16,3.84,0.88,0.00,0.01,172.85,3.36
26.00,99.30,11.78,3.71,0.95,0.00,0.01,175.9,3.36
26.00,100.00,12.87,4.75,0.98,0.00,0.00,0,3.36
26.00,106.21,12.69,4.81,0.97,0.00,0.00,0,3.36
26.00,104.33,11.93,4.60,0.96,0.00,0.00,0,3.36
32.00,111.69,13.19,5.40,1.02,0.00,0.01,167.41,3.36
32.00,109.49,11.67,4.27,0.97,0.00,0.01,149.45,3.36
32.00,107.55,12.39,4.64,0.96,0.00,0.01,157.8,3.36
32.00,110.12,11.84,4.48,0.98,0.00,0.01,137.2,3.36
32.00,109.79,13.65,5.39,0.93,0.00,0.00,0,3.36
21.00,100.77,11.42,3.72,0.94,0.00,0.00,0,3.36
21.00,106.49,11.90,4.34,0.94,0.00,0.01,218.59,3.36
26.00,104.32,12.42,3.76,0.90,0.00,0.01,175.39,3.36
26.00,104.11,11.65,4.28,0.94,0.00,0.00,0,3.36
26.00,103.44,12.71,4.65,0.96,0.00,0.00,0,3.36
32.00,95.60,10.52,4.43,0.97,0.00,0.00,0,3.36
21.00,90.90,11.10,4.00,0.91,0.00,0.01,173.43,3.36
21.00,94.39,12.22,4.84,0.89,0.00,0.01,180.23,3.36
32.00,91.50,10.98,4.34,0.99,0.00,0.00,0,3.37
21.00,99.55,11.61,3.37,0.95,0.00,0.01,192.62,3.38
21.00,103.88,11.89,3.84,0.94,0.00,0.01,205.79,3.38
21.00,100.09,12.07,3.71,0.94,0.00,0.01,223.73,3.38
21.00,102.87,10.84,3.45,0.92,0.00,0.01,198.21,3.38
21.00,103.66,11.30,3.66,0.95,0.00,0.01,184.92,3.38
26.00,105.10,12.53,3.81,0.93,0.00,0.01,178.26,3.38
26.00,100.99,12.31,3.68,0.93,0.00,0.01,168.25,3.38
26.00,104.99,12.25,4.47,0.93,0.00,0.00,0,3.38
26.00,101.18,13.05,5.22,1.01,0.00,0.00,0,3.38
32.00,108.77,13.56,5.36,1.03,0.00,0.01,167.74,3.38
32.00,110.39,12.51,5.08,0.97,0.00,0.01,145.37,3.38
32.00,106.77,12.63,4.51,0.95,0.00,0.01,159.72,3.38
32.00,106.33,12.14,4.44,0.97,0.00,0.01,152.91,3.38
32.00,107.89,11.60,4.09,1.00,0.00,0.01,148.16,3.38
32.00,110.09,12.71,4.95,0.97,0.00,0.01,163.66,3.38
32.00,107.77,14.19,6.01,0.92,0.00,0.00,0,3.38
21.00,91.80,10.33,3.32,0.85,0.00,0.01,169.33,3.38
21.00,90.49,11.11,4.41,0.92,0.00,0.01,179.53,3.38
21.00,92.88,10.58,3.45,0.82,0.00,0.01,184.22,3.38
21.00,100.66,11.15,3.90,0.95,0.00,0.00,0,3.39
26.00,99.66,12.08,3.72,0.81,0.00,0.01,162.9,3.39
26.00,110.39,11.79,4.96,1.00,0.00,0.00,0,3.39
26.00,104.10,11.72,4.01,0.96,0.00,0.01,183.46,3.39
26.00,99.49,12.76,4.53,0.98,0.00,0.00,0,3.39
32.00,110.19,13.19,5.35,0.98,0.00,0.01,165.16,3.39
32.00,110.44,13.26,5.47,0.98,0.00,0.01,149.81,3.39
32.00,110.00,11.28,3.79,0.96,0.00,0.01,130.57,3.39
32.00,105.77,12.29,4.99,0.97,0.00,0.01,153.89,3.39
32.00,106.33,12.19,4.35,0.96,0.00,0.01,153.46,3.39
32.00,109.59,13.03,5.34,0.89,0.00,0.00,0,3.39
32.00,108.09,14.76,6.19,0.87,0.00,0.00,0,3.39
32.00,109.00,14.24,5.96,0.96,0.00,0.00,0,3.39
21.00,92.72,12.17,4.55,0.92,0.00,0.01,221.72,3.39
21.00,94.55,10.99,3.82,0.90,0.00,0.01,166.96,3.39
32.00,107.33,11.93,4.09,1.01,0.00,0.01,134.79,3.40
26.00,104.99,12.95,4.67,0.99,0.00,0.00,0,3.41
26.00,96.99,12.59,4.72,1.01,0.00,0.00,0,3.41
32.00,108.77,13.17,5.32,0.98,0.00,0.01,167.39,3.41
32.00,110.08,11.83,4.56,0.97,0.00,0.01,150.74,3.41
32.00,110.29,12.12,4.94,1.02,0.00,0.01,140.71,3.41
32.00,107.69,12.00,4.34,0.95,0.00,0.01,151.15,3.41
32.00,105.72,13.65,5.48,1.03,0.00,0.01,167.05,3.41
32.00,104.90,12.43,5.18,0.93,0.00,0.00,0,3.41
32.00,105.09,14.44,5.90,0.97,0.00,0.00,0,3.41
21.00,95.55,10.78,3.59,0.92,0.00,0.01,177.05,3.41
21.00,103.19,11.61,3.23,0.92,0.00,0.00,0,3.41
32.00,107.55,12.00,4.21,0.99,0.00,0.01,152.82,3.41
32.00,95.40,10.66,4.45,0.99,0.00,0.00,0,3.41
21.00,100.99,11.03,3.86,1.01,0.00,0.00,0,3.42
21.00,102.70,11.11,3.68,0.94,0.00,0.00,0,3.42
21.00,102.50,11.59,3.99,1.00,0.00,0.00,0,3.42
26.00,104.88,12.32,3.76,0.94,0.00,0.01,174.92,3.42
26.00,107.25,11.65,3.51,0.91,0.00,0.01,175.32,3.42
26.00,107.49,12.16,3.49,0.91,0.00,0.01,175.78,3.42
26.00,104.66,11.67,4.25,1.00,0.00,0.00,0,3.42
26.00,104.49,12.90,4.91,1.01,0.00,0.00,0,3.42
26.00,106.90,11.53,4.66,0.99,0.00,0.00,0,3.42
26.00,102.59,12.48,4.92,0.98,0.00,0.00,0,3.42
26.00,102.77,12.90,4.42,0.97,0.00,0.00,0,3.42
32.00,112.33,13.26,5.49,1.03,0.00,0.01,174.03,3.42
32.00,113.49,12.51,5.49,1.00,0.00,0.01,147.5,3.42
32.00,111.69,13.06,5.46,1.02,0.00,0.01,165.76,3.42
32.00,107.29,11.75,3.95,1.00,0.00,0.01,147.45,3.42
32.00,91.39,10.88,4.27,0.94,0.00,0.00,0,3.42
32.00,106.99,12.96,5.64,0.95,0.00,0.00,0,3.42
21.00,89.49,10.36,3.54,0.90,0.00,0.01,165.56,3.42
21.00,91.60,10.66,3.52,0.91,0.00,0.01,152.56,3.42
21.00,91.89,10.57,3.60,0.87,0.00,0.01,173.45,3.42
21.00,100.55,10.48,3.55,0.97,0.00,0.00,0,3.44
21.00,105.33,11.69,3.82,0.94,0.00,0.01,205.14,3.44
26.00,99.70,12.62,4.71,0.99,0.00,0.00,0,3.44
32.00,109.89,11.49,4.19,1.01,0.00,0.01,149.49,3.44
32.00,109.81,12.42,4.90,1.00,0.00,0.01,157.88,3.44
32.00,104.90,12.55,5.17,0.95,0.00,0.00,0,3.44
32.00,109.99,13.28,5.42,0.88,0.00,0.00,0,3.44
32.00,98.69,14.54,6.25,0.91,0.00,0.00,0,3.44
21.00,101.33,11.33,3.69,0.95,0.00,0.00,0,3.44
21.00,105.37,10.83,4.02,0.96,0.00,0.00,0,3.44
21.00,101.44,11.35,3.66,0.99,0.00,0.01,230.34,3.44
26.00,104.12,11.71,3.92,0.98,0.00,0.01,171.13,3.44
26.00,106.33,12.62,5.05,0.98,0.00,0.00,0,3.44
32.00,91.09,11.20,4.61,0.98,0.00,0.00,0,3.44
32.00,102.19,11.96,4.95,0.92,0.00,0.00,0,3.44
32.00,110.33,13.56,5.27,0.92,0.00,0.00,0,3.44
32.00,105.39,13.79,5.25,0.93,0.00,0.00,0,3.44
32.00,103.63,14.88,6.12,0.92,0.00,0.00,0,3.44
21.00,95.10,11.81,4.71,0.93,0.00,0.01,214.54,3.44
26.00,103.66,11.87,4.14,0.91,0.00,0.01,194.21,3.44
21.00,104.77,11.84,3.94,0.93,0.00,0.01,195.93,3.45
32.00,108.69,15.50,6.19,1.02,0.00,0.01,191.43,3.45
21.00,106.09,10.73,3.54,1.00,0.00,0.00,0,3.45
26.00,104.21,11.49,3.50,0.94,0.00,0.01,189.03,3.45
26.00,111.24,11.45,4.06,0.95,0.00,0.01,171.25,3.45
26.00,99.00,13.57,5.19,0.98,0.00,0.00,0,3.45
26.00,104.08,12.77,4.60,1.00,0.00,0.00,0,3.45
26.00,104.66,12.05,4.19,0.99,0.00,0.00,0,3.45
32.00,108.89,13.33,5.34,1.00,0.00,0.01,164.94,3.45
32.00,101.36,13.85,5.17,1.04,0.00,0.01,147.81,3.45
32.00,106.72,13.43,5.35,0.96,0.00,0.00,0,3.45
21.00,91.90,10.67,3.45,0.90,0.00,0.01,175.09,3.45
21.00,89.10,10.46,3.35,0.91,0.00,0.01,149.73,3.45
21.00,89.77,11.46,4.85,0.89,0.00,0.00,208.69,3.45
21.00,104.99,11.89,4.26,0.97,0.00,0.01,249.59,3.45
26.00,101.54,12.41,4.70,0.97,0.00,0.00,0,3.45
32.00,109.99,13.50,5.42,1.02,0.00,0.01,149.99,3.45
32.00,104.39,13.74,5.78,0.94,0.00,0.00,0,3.45
21.00,89.70,11.97,5.18,0.90,0.00,0.01,191.72,3.45
21.00,101.50,11.65,3.95,0.94,0.00,0.01,210.15,3.47
32.00,110.77,12.81,5.28,1.03,0.00,0.01,165.86,3.47
32.00,107.81,12.61,4.94,0.94,0.00,0.00,0,3.47
21.00,89.59,10.55,3.63,0.92,0.00,0.01,168.79,3.47
21.00,105.40,11.10,3.84,0.97,0.00,0.00,0,3.47
21.00,96.44,11.72,3.70,0.95,0.00,0.00,0,3.47
21.00,99.88,10.96,3.78,0.94,0.00,0.00,0,3.47
26.00,105.09,12.24,3.55,0.95,0.00,0.01,193.44,3.47
26.00,103.90,12.87,3.94,0.97,0.00,0.01,234.59,3.47
26.00,103.77,11.75,4.26,0.95,0.00,0.00,0,3.47
26.00,104.55,12.27,4.73,0.98,0.00,0.00,0,3.47
32.00,104.79,12.84,4.37,0.98,0.00,0.01,157.37,3.47
32.00,109.77,11.79,4.49,0.96,0.00,0.01,145,3.47
32.00,109.37,11.70,4.65,0.99,0.00,0.01,134.67,3.47
32.00,102.19,13.22,4.47,0.98,0.00,0.01,158.01,3.47
32.00,101.90,12.84,5.86,0.96,0.00,0.00,0,3.47
21.00,91.10,12.02,5.26,0.89,0.00,0.01,171.09,3.47
26.00,104.40,12.46,4.70,1.01,0.00,0.00,0,3.48
21.00,105.62,10.90,3.63,0.96,0.00,0.00,0,3.48
26.00,102.77,12.19,3.93,0.94,0.00,0.01,186.43,3.48
26.00,105.70,11.49,3.87,0.94,0.00,0.01,178.91,3.48
26.00,99.66,12.28,4.00,0.93,0.00,0.01,193.2,3.48
26.00,99.33,12.41,4.37,0.99,0.00,0.00,0,3.48
26.00,102.69,11.96,4.12,1.01,0.00,0.00,0,3.48
26.00,99.60,13.88,5.31,0.97,0.00,0.00,0,3.48
32.00,110.39,12.94,5.11,1.01,0.00,0.01,167.07,3.48
32.00,105.19,13.76,6.06,0.93,0.00,0.00,0,3.48
32.00,108.59,13.87,4.83,0.93,0.00,0.00,0,3.48
32.00,104.55,13.04,5.86,0.92,0.00,0.00,0,3.48
32.00,95.10,10.53,4.47,1.02,0.00,0.00,0,3.48
32.00,109.66,14.62,5.86,0.93,0.00,0.00,0,3.48
21.00,106.30,11.47,3.70,1.01,0.00,0.00,0,3.49
21.00,105.37,11.66,3.31,0.95,0.00,0.01,218.48,3.49
26.00,98.39,11.90,3.62,0.97,0.00,0.01,176.07,3.49
32.00,106.13,12.63,4.65,1.03,0.00,0.01,141.08,3.49
32.00,108.77,12.77,4.98,0.99,0.00,0.01,164.45,3.49
32.00,91.81,11.19,4.53,1.01,0.00,0.00,0,3.49
32.00,105.70,12.55,5.45,0.95,0.00,0.00,0,3.49
32.00,90.88,11.00,4.32,1.00,0.00,0.00,0,3.50
26.00,104.49,12.36,3.75,0.98,0.00,0.01,194.21,3.50
26.00,104.55,12.27,3.63,0.96,0.00,0.01,202.5,3.50
26.00,98.09,12.00,3.72,0.95,0.00,0.01,177.01,3.50
26.00,98.29,13.56,4.78,1.01,0.00,0.00,0,3.50
26.00,102.50,13.29,4.52,0.98,0.00,0.00,0,3.50
26.00,104.10,12.33,4.60,0.97,0.00,0.00,0,3.50
26.00,102.54,12.58,4.82,1.00,0.00,0.00,0,3.50
32.00,105.89,14.05,5.40,0.99,0.00,0.01,169.07,3.50
32.00,105.09,13.18,4.78,1.02,0.00,0.01,162,3.50
32.00,107.55,12.25,4.28,0.96,0.00,0.01,138.63,3.50
32.00,107.49,11.95,4.20,0.99,0.00,0.01,150.24,3.50
32.00,111.36,13.71,5.90,0.94,0.00,0.00,0,3.50
32.00,107.79,12.81,5.29,0.95,0.00,0.00,0,3.50
32.00,110.19,13.26,6.12,0.95,0.00,0.00,0,3.50
32.00,91.59,11.11,4.33,1.01,0.00,0.00,0,3.50
32.00,108.08,13.82,5.77,0.97,0.00,0.00,0,3.50
32.00,95.19,10.38,4.26,1.01,0.00,0.00,0,3.50
21.00,91.44,10.50,3.85,0.90,0.00,0.01,154.3,3.50
21.00,91.69,12.31,4.65,0.92,0.00,0.01,201.56,3.50
21.00,89.39,10.37,3.62,0.93,0.00,0.01,165.54,3.50
26.00,102.88,13.09,4.86,1.01,0.00,0.00,0,3.50
26.00,106.44,11.53,3.67,0.94,0.00,0.01,193.8,3.52
26.00,102.90,12.70,4.84,1.01,0.00,0.00,0,3.52
32.00,110.79,11.52,4.34,1.04,0.00,0.01,149.28,3.52
32.00,105.59,11.89,4.92,0.99,0.00,0.00,0,3.52
32.00,105.44,13.62,5.37,0.93,0.00,0.00,0,3.52
32.00,104.40,13.27,5.65,0.98,0.00,0.00,0,3.52
21.00,92.22,11.49,4.24,0.91,0.00,0.01,198.6,3.52
26.00,103.77,12.21,3.57,0.96,0.00,0.01,200.05,3.52
26.00,101.87,11.30,3.55,0.93,0.00,0.01,193.84,3.52
26.00,105.09,12.00,4.54,1.02,0.00,0.00,0,3.52
32.00,107.33,11.87,3.87,0.98,0.00,0.01,150.8,3.52
32.00,109.36,13.14,5.30,1.01,0.00,0.01,166.33,3.52
32.00,104.81,13.90,5.05,0.93,0.00,0.00,0,3.52
21.00,84.99,10.08,3.62,0.94,0.00,0.01,136.12,3.52
21.00,105.50,11.09,3.55,1.02,0.00,0.00,0,3.53
21.00,101.25,10.79,3.70,0.98,0.00,0.00,0,3.53
26.00,104.33,11.73,4.38,1.01,0.00,0.00,0,3.53
26.00,105.49,12.04,4.61,1.04,0.00,0.00,0,3.53
26.00,106.89,13.03,5.23,1.02,0.00,0.00,0,3.53
32.00,109.19,12.54,4.64,1.01,0.00,0.01,144.13,3.53
32.00,110.29,12.65,4.96,1.04,0.00,0.01,163.18,3.53
32.00,110.55,13.27,5.61,1.01,0.00,0.01,154.4,3.53
32.00,106.60,11.85,4.15,1.01,0.00,0.01,147.74,3.53
32.00,109.00,13.03,4.94,1.02,0.00,0.01,168.22,3.53
32.00,91.29,11.03,4.32,1.01,0.00,0.00,0,3.53
32.00,94.99,10.54,4.41,1.01,0.00,0.00,0,3.53
32.00,100.55,12.36,5.45,0.95,0.00,0.00,0,3.53
32.00,106.89,14.83,5.88,1.00,0.00,0.00,0,3.53
21.00,104.80,10.65,3.81,1.02,0.00,0.00,0,3.53
32.00,111.99,12.74,5.61,1.06,0.00,0.01,162.13,3.53
32.00,100.59,12.54,5.31,0.94,0.00,0.00,0,3.53
32.00,107.59,13.11,5.02,0.95,0.00,0.00,0,3.53
21.00,92.89,10.72,3.63,0.94,0.00,0.01,177.83,3.53
21.00,88.59,10.48,3.57,0.93,0.00,0.01,165.8,3.53
26.00,100.49,13.10,3.34,0.92,0.00,0.01,197.97,3.55
26.00,106.50,12.06,4.63,1.01,0.00,0.00,0,3.55
32.00,109.99,12.40,4.80,1.07,0.00,0.01,159.52,3.55
