Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Electricity Usage (W),Welding Robot Speed (m/s),Heat Input (j/mm),Welding Cycle Time
21.00,121.83,13.07,4.50,0.55,0.00,0.01,201.05,2.14
21.00,103.66,12.94,4.01,0.55,0.00,0.01,153.24,2.14
21.00,120.74,12.25,4.22,0.55,0.00,0.01,207.59,2.14
21.00,116.00,12.93,3.68,0.54,0.00,0.01,189.5,2.14
21.00,100.66,13.72,4.44,0.57,0.00,0.01,157.79,2.14
21.00,104.49,13.65,4.81,0.51,0.00,0.00,0,2.14
21.00,102.33,12.87,4.57,0.56,0.00,0.01,188.09,2.14
21.00,107.59,12.36,4.41,0.57,0.00,0.01,158.31,2.14
21.00,116.59,12.66,3.27,0.51,0.00,0.01,155.37,2.16
21.00,111.83,12.90,4.50,0.55,0.00,0.01,182.22,2.16
21.00,97.59,14.30,4.19,0.53,0.00,0.00,0,2.16
21.00,120.39,12.18,4.33,0.52,0.00,0.01,161.27,2.16
21.00,111.16,12.85,4.39,0.57,0.00,0.01,180.42,2.17
21.00,109.66,12.37,4.70,0.56,0.00,0.01,193.72,2.17
21.00,98.16,13.58,4.27,0.57,0.00,0.01,152.38,2.17
21.00,106.19,13.10,4.17,0.52,0.00,0.01,165.61,2.17
21.00,96.16,14.23,4.40,0.57,0.00,0.01,195.5,2.17
21.00,107.83,13.82,4.48,0.52,0.00,0.01,188.19,2.17
21.00,98.99,14.78,4.68,0.55,0.00,0.00,0,2.17
21.00,107.49,12.28,4.21,0.53,0.00,0.00,0,2.19
21.00,103.16,13.07,4.55,0.59,0.00,0.01,189.91,2.19
21.00,114.19,13.40,4.93,0.52,0.00,0.01,168.29,2.19
21.00,102.66,13.50,4.82,0.56,0.00,0.01,158.39,2.19
21.00,101.39,13.48,4.83,0.56,0.00,0.00,0,2.19
21.00,94.99,14.29,4.18,0.58,0.00,0.01,180.94,2.19
21.00,121.79,12.64,4.38,0.57,0.00,0.01,202.56,2.19
21.00,98.66,14.98,4.98,0.59,0.00,0.01,208.21,2.19
21.00,95.66,12.83,4.12,0.58,0.00,0.01,175.39,2.19
21.00,115.99,12.87,3.90,0.57,0.00,0.01,188.52,2.20
21.00,102.99,12.77,3.89,0.57,0.00,0.01,150.26,2.20
21.00,103.49,12.75,4.39,0.57,0.00,0.01,150.79,2.20
21.00,99.19,14.18,4.01,0.57,0.00,0.01,167.45,2.22
21.00,121.66,11.97,4.01,0.59,0.00,0.01,183.91,2.22
21.00,96.49,14.10,4.11,0.60,0.00,0.01,155.5,2.22
21.00,92.99,15.15,4.10,0.55,0.00,0.01,161,2.22
21.00,108.83,13.03,4.30,0.56,0.00,0.01,179.17,2.22
21.00,101.79,14.30,4.85,0.56,0.00,0.00,0,2.23
21.00,109.39,12.52,4.34,0.57,0.00,0.01,163.04,2.23
21.00,99.16,13.45,4.09,0.57,0.00,0.01,152.41,2.23
21.00,99.66,13.59,4.02,0.57,0.00,0.01,154.73,2.23
21.00,100.79,14.17,3.92,0.56,0.00,0.01,169.98,2.23
21.00,113.19,13.78,4.48,0.51,0.00,0.01,171.54,2.24
21.00,106.33,12.03,4.52,0.58,0.00,0.01,182.79,2.25
21.00,99.50,13.53,4.37,0.59,0.00,0.01,192.35,2.25
21.00,102.66,12.85,4.32,0.60,0.00,0.01,188.44,2.25
21.00,109.24,13.02,3.78,0.56,0.00,0.01,180.62,2.25
21.00,118.49,12.45,4.10,0.56,0.00,0.01,186.33,2.25
21.00,111.39,13.40,4.59,0.55,0.00,0.01,196.41,2.25
21.00,121.80,12.70,4.81,0.56,0.00,0.01,203.53,2.25
21.00,115.33,13.52,4.24,0.55,0.00,0.01,196.92,2.25
21.00,103.00,13.54,4.84,0.56,0.00,0.00,0,2.25
21.00,95.50,13.45,3.97,0.60,0.00,0.01,146.78,2.25
21.00,100.59,13.70,4.33,0.55,0.00,0.00,0,2.27
21.00,116.16,13.40,4.12,0.57,0.00,0.01,196.61,2.27
21.00,114.20,13.70,4.17,0.55,0.00,0.01,205.85,2.27
21.00,122.99,12.28,4.60,0.58,0.00,0.01,198.73,2.28
21.00,115.13,12.71,4.40,0.58,0.00,0.01,179.72,2.28
21.00,103.12,11.22,4.24,0.63,0.00,0.00,0,2.30
21.00,112.99,13.27,4.49,0.59,0.00,0.01,189.33,2.30
21.00,107.39,13.12,4.34,0.60,0.00,0.01,185.4,2.31
21.00,105.79,12.54,3.90,0.62,0.00,0.01,157.93,2.31
21.00,106.19,13.42,5.17,0.57,0.00,0.00,0,2.31
21.00,97.49,14.60,4.64,0.57,0.00,0.00,0,2.31
21.00,98.85,14.01,4.29,0.59,0.00,0.01,153.9,2.33
21.00,114.79,13.28,4.43,0.57,0.00,0.01,200.59,2.33
21.00,107.79,12.32,3.89,0.60,0.00,0.01,158.09,2.33
21.00,100.33,14.07,4.46,0.60,0.00,0.01,201.61,2.33
21.00,101.85,11.33,4.37,0.62,0.00,0.00,0,2.34
21.00,102.16,14.44,3.96,0.58,0.00,0.00,0,2.34
21.00,105.83,11.50,3.94,0.64,0.00,0.00,0,2.34
21.00,96.85,14.26,4.15,0.63,0.00,0.01,184.08,2.34
21.00,94.85,14.46,4.36,0.62,0.00,0.01,182.8,2.36
21.00,118.17,13.58,4.94,0.57,0.00,0.01,202.74,2.36
21.00,107.33,12.28,4.11,0.62,0.00,0.01,188.32,2.38
21.00,100.79,13.68,3.86,0.63,0.00,0.01,164.15,2.38
21.00,121.19,13.34,4.69,0.59,0.00,0.01,212.73,2.38
21.00,111.16,12.53,4.58,0.57,0.00,0.01,175.99,2.39
21.00,98.83,13.77,4.45,0.59,0.00,0.01,155.48,2.39
21.00,106.16,12.92,4.48,0.59,0.00,0.01,156.71,2.39
21.00,109.79,12.44,4.32,0.57,0.00,0.01,179.71,2.41
21.00,106.33,11.35,4.37,0.67,0.00,0.00,0,2.42
21.00,98.99,14.07,4.42,0.61,0.00,0.01,185.71,2.42
21.00,110.66,12.65,4.60,0.58,0.00,0.01,176.82,2.42
21.00,101.85,11.19,4.03,0.64,0.00,0.00,0,2.44
21.00,117.49,13.20,3.81,0.61,0.00,0.01,195.88,2.44
21.00,101.13,13.27,4.38,0.63,0.00,0.01,178.95,2.45
26.00,109.87,11.89,5.39,0.73,0.00,0.00,0,2.47
21.00,100.99,13.80,4.57,0.64,0.00,0.01,159.28,2.47
21.00,89.83,13.98,4.36,0.66,0.00,0.01,179.45,2.47
21.00,103.49,13.42,4.20,0.62,0.00,0.01,158.69,2.47
