Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Welding Robot Speed (m/s),Welding Cycle Time
26.00,107.99,12.39,4.15,0.74,0.01,2.80
26.00,105.33,12.48,5.19,0.83,0.00,2.80
21.00,88.99,10.71,3.18,0.75,0.00,2.80
21.00,109.49,10.42,3.79,0.79,0.00,2.81
21.00,98.62,12.94,4.27,0.77,0.00,2.81
21.00,100.14,13.31,5.02,0.74,0.00,2.81
21.00,95.37,11.19,3.75,0.71,0.01,2.81
21.00,108.49,11.00,3.88,0.80,0.01,2.81
21.00,104.62,11.81,3.55,0.79,0.01,2.81
21.00,102.75,11.84,4.58,0.72,0.00,2.81
21.00,106.87,10.96,4.31,0.76,0.00,2.81
21.00,91.37,10.24,3.73,0.73,0.01,2.81
21.00,105.36,11.06,3.75,0.80,0.00,2.83
21.00,104.12,11.82,3.82,0.80,0.01,2.83
21.00,102.16,13.12,4.64,0.71,0.00,2.83
21.00,100.85,11.54,4.29,0.76,0.00,2.83
21.00,95.12,10.91,3.48,0.70,0.00,2.83
26.00,108.87,12.15,4.68,0.81,0.00,2.83
21.00,98.24,10.96,3.88,0.70,0.01,2.83
21.00,90.70,10.20,3.51,0.73,0.01,2.83
21.00,90.87,10.48,3.31,0.72,0.00,2.83
21.00,93.86,11.04,3.95,0.76,0.00,2.83
21.00,95.88,11.22,2.88,0.75,0.01,2.83
21.00,98.74,11.10,3.77,0.82,0.00,2.83
21.00,102.71,11.23,4.10,0.71,0.01,2.84
26.00,108.49,12.45,3.91,0.75,0.01,2.84
21.00,95.87,11.29,3.74,0.73,0.00,2.84
21.00,101.87,11.13,3.65,0.81,0.00,2.84
21.00,109.87,10.66,3.95,0.82,0.00,2.84
21.00,103.49,12.51,4.03,0.81,0.00,2.84
21.00,109.21,11.22,4.31,0.81,0.00,2.84
21.00,106.37,10.81,3.78,0.84,0.01,2.84
21.00,102.62,11.44,4.27,0.75,0.00,2.84
21.00,107.13,11.26,4.16,0.74,0.00,2.84
26.00,106.87,12.46,4.12,0.80,0.01,2.84
26.00,105.10,12.84,3.78,0.76,0.01,2.84
32.00,112.49,13.99,6.36,0.84,0.01,2.84
21.00,93.85,12.09,4.01,0.70,0.00,2.84
21.00,104.87,10.93,3.49,0.77,0.00,2.86
21.00,104.33,11.21,3.76,0.81,0.00,2.86
21.00,107.86,11.74,4.03,0.81,0.00,2.86
21.00,101.50,11.64,3.62,0.81,0.01,2.86
21.00,101.55,11.51,3.71,0.83,0.01,2.86
21.00,100.75,12.16,4.08,0.76,0.00,2.86
21.00,102.87,12.62,4.99,0.75,0.00,2.86
21.00,95.85,12.55,4.32,0.71,0.01,2.86
21.00,105.49,11.34,3.83,0.80,0.00,2.86
21.00,104.49,11.29,3.82,0.82,0.00,2.86
21.00,106.61,11.62,3.93,0.79,0.01,2.86
21.00,101.42,13.30,4.57,0.76,0.00,2.86
26.00,109.12,12.26,4.42,0.79,0.01,2.86
26.00,102.22,12.80,4.57,0.79,0.01,2.86
26.00,105.42,12.43,5.21,0.85,0.00,2.86
32.00,109.62,14.46,6.70,0.83,0.01,2.86
21.00,96.71,10.73,3.53,0.74,0.01,2.86
21.00,104.99,11.19,3.71,0.83,0.00,2.88
21.00,104.99,11.01,3.75,0.81,0.00,2.88
21.00,105.87,11.38,3.67,0.81,0.01,2.88
21.00,104.55,11.85,4.10,0.84,0.01,2.88
21.00,107.25,11.34,4.28,0.78,0.00,2.88
21.00,103.12,12.08,4.23,0.78,0.00,2.88
21.00,100.32,12.04,4.22,0.76,0.00,2.88
21.00,99.70,13.64,4.61,0.74,0.00,2.88
21.00,106.85,12.50,5.17,0.79,0.00,2.88
